wilayah,jenis_wilayah,tahun,bulan,bulan_ke,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,inflasi_yoy,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index,is_bulan_awal_tahun,is_bulan_tengah_tahun,is_bulan_akhir_tahun
Kabupaten Bandung,Kabupaten,2021,Januari,1,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,1,0,0
Kabupaten Bandung,Kabupaten,2021,Februari,2,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,1,0,0
Kabupaten Bandung,Kabupaten,2021,Maret,3,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,1,0,0
Kabupaten Bandung,Kabupaten,2021,April,4,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,1,0
Kabupaten Bandung,Kabupaten,2021,Mei,5,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,1,0
Kabupaten Bandung,Kabupaten,2021,Juni,6,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,1,0
Kabupaten Bandung,Kabupaten,2021,Juli,7,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,1,0
Kabupaten Bandung,Kabupaten,2021,Agustus,8,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,1,0
Kabupaten Bandung,Kabupaten,2021,September,9,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,0,1
Kabupaten Bandung,Kabupaten,2021,Oktober,10,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,0,1
Kabupaten Bandung,Kabupaten,2021,November,11,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,0,1
Kabupaten Bandung,Kabupaten,2021,Desember,12,8.32,7.15,0.386,94.59,9.07,12.7,,10.885,15.47,52.7375,0,0,1
Kabupaten Bandung,Kabupaten,2022,Januari,1,6.98,6.8,0.37,94.71,9.08,12.71,,10.895,13.78,52.8025,1,0,0
Kabupaten Bandung,Kabupaten,2022,Februari,2,6.98,6.8,0.37,94.71,9.08,12.71,,10.895,13.78,52.8025,1,0,0
Kabupaten Bandung,Kabupaten,2022,Maret,3,6.98,6.8,0.37,94.71,9.08,12.71,,10.895,13.78,52.8025,1,0,0
Kabupaten Bandung,Kabupaten,2022,April,4,6.98,6.8,0.37,94.71,9.08,12.71,,10.895,13.78,52.8025,0,1,0
Kabupaten Bandung,Kabupaten,2022,Mei,5,6.98,6.8,0.37,94.71,9.08,12.71,,10.895,13.78,52.8025,0,1,0
Kabupaten Bandung,Kabupaten,2022,Juni,6,6.98,6.8,0.37,94.71,9.08,12.71,,10.895,13.78,52.8025,0,1,0
