id_fact_kinerja,nama_wilayah,jenis_wilayah,tahun,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index,status_tpt,status_indeks_kerentanan,keterangan_etl
FK0001,Kabupaten Bandung,Kabupaten,2021,8.32,7.15,0.386,94.59,9.07,12.7,10.885,15.47,52.7375,tersedia,tersedia,OK
FK0002,Kabupaten Bandung,Kabupaten,2022,6.98,6.8,0.37,94.71,9.08,12.71,10.895,13.78,52.8025,tersedia,tersedia,OK
FK0003,Kabupaten Bandung,Kabupaten,2023,6.52,6.4,0.348,94.8,9.1,12.73,10.915,12.92,52.8575,tersedia,tersedia,OK
FK0004,Kabupaten Bandung,Kabupaten,2024,6.36,6.19,0.364,95.1,9.15,12.74,10.945,12.55,53.0225,tersedia,tersedia,OK
FK0005,Kabupaten Bandung,Kabupaten,2025,,6.04,0.385,95.26,9.4,12.99,11.195,,53.227500000000006,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0006,Kabupaten Bandung Barat,Kabupaten,2021,11.65,11.3,0.356,79.72,8.2,11.88,10.04,22.950000000000003,44.88,tersedia,tersedia,OK
FK0007,Kabupaten Bandung Barat,Kabupaten,2022,9.63,10.82,0.368,80.41,8.22,11.89,10.055,20.450000000000003,45.2325,tersedia,tersedia,OK
FK0008,Kabupaten Bandung Barat,Kabupaten,2023,8.11,10.52,0.374,80.96,8.23,11.91,10.07,18.63,45.515,tersedia,tersedia,OK
FK0009,Kabupaten Bandung Barat,Kabupaten,2024,6.7,10.49,0.4,81.59,8.24,12.0,10.12,17.19,45.855,tersedia,tersedia,OK
FK0010,Kabupaten Bandung Barat,Kabupaten,2025,,9.87,0.364,81.98,8.34,12.26,10.3,,46.14,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0011,Kabupaten Bekasi,Kabupaten,2021,10.09,5.21,0.34,89.77,9.3,13.1,11.2,15.3,50.485,tersedia,tersedia,OK
FK0012,Kabupaten Bekasi,Kabupaten,2022,10.31,5.01,0.373,90.3,9.53,13.11,11.32,15.32,50.81,tersedia,tersedia,OK
FK0013,Kabupaten Bekasi,Kabupaten,2023,8.87,4.93,0.397,90.06,9.57,13.17,11.37,13.8,50.715,tersedia,tersedia,OK
FK0014,Kabupaten Bekasi,Kabupaten,2024,8.82,4.8,0.367,90.18,9.76,13.18,11.47,13.62,50.825,tersedia,tersedia,OK
FK0015,Kabupaten Bekasi,Kabupaten,2025,,4.36,0.365,90.41,10.07,13.22,11.645,,51.0275,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0016,Kabupaten Bogor,Kabupaten,2021,12.22,8.13,0.396,90.07,8.31,12.49,10.4,20.35,50.235,tersedia,tersedia,OK
FK0017,Kabupaten Bogor,Kabupaten,2022,10.64,7.73,0.4,90.7,8.34,12.5,10.42,18.37,50.56,tersedia,tersedia,OK
FK0018,Kabupaten Bogor,Kabupaten,2023,8.47,7.27,0.369,90.93,8.37,12.64,10.505,15.74,50.7175,tersedia,tersedia,OK
FK0019,Kabupaten Bogor,Kabupaten,2024,7.34,7.05,0.398,90.98,8.39,12.75,10.57,14.39,50.775000000000006,tersedia,tersedia,OK
FK0020,Kabupaten Bogor,Kabupaten,2025,,6.26,0.38,90.94,8.72,12.76,10.74,,50.84,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0021,Kabupaten Ciamis,Kabupaten,2021,5.06,7.97,0.342,87.31,7.9,14.2,11.05,13.03,49.18,tersedia,tersedia,OK
FK0022,Kabupaten Ciamis,Kabupaten,2022,3.75,7.72,0.337,87.86,8.0,14.28,11.14,11.47,49.5,tersedia,tersedia,OK
FK0023,Kabupaten Ciamis,Kabupaten,2023,3.52,7.42,0.341,88.01,8.09,14.29,11.19,10.94,49.6,tersedia,tersedia,OK
FK0024,Kabupaten Ciamis,Kabupaten,2024,3.37,7.39,0.326,88.29,8.1,14.3,11.2,10.76,49.745000000000005,tersedia,tersedia,OK
FK0025,Kabupaten Ciamis,Kabupaten,2025,,7.19,0.34,89.11,8.23,14.31,11.27,,50.19,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0026,Kabupaten Cianjur,Kabupaten,2021,9.32,11.18,0.372,84.92,7.19,12.0,9.595,20.5,47.2575,tersedia,tersedia,OK
FK0027,Kabupaten Cianjur,Kabupaten,2022,8.41,10.55,0.313,85.56,7.2,12.01,9.605,18.96,47.5825,tersedia,tersedia,OK
FK0028,Kabupaten Cianjur,Kabupaten,2023,7.71,10.22,0.319,85.88,7.22,12.03,9.625,17.93,47.7525,tersedia,tersedia,OK
FK0029,Kabupaten Cianjur,Kabupaten,2024,5.99,10.14,0.338,86.22,7.33,12.04,9.685,16.130000000000003,47.9525,tersedia,tersedia,OK
FK0030,Kabupaten Cianjur,Kabupaten,2025,,9.82,0.344,86.48,7.62,12.31,9.965,,48.2225,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0031,Kabupaten Cirebon,Kabupaten,2021,10.38,12.3,0.339,84.12,7.1,12.27,9.685,22.68,46.9025,tersedia,tersedia,OK
FK0032,Kabupaten Cirebon,Kabupaten,2022,8.11,12.01,0.355,84.69,7.4,12.28,9.84,20.12,47.265,tersedia,tersedia,OK
FK0033,Kabupaten Cirebon,Kabupaten,2023,7.65,11.2,0.361,84.96,7.64,12.41,10.025,18.85,47.4925,tersedia,tersedia,OK
FK0034,Kabupaten Cirebon,Kabupaten,2024,6.74,11.0,0.374,85.43,7.65,12.42,10.035,17.740000000000002,47.7325,tersedia,tersedia,OK
FK0035,Kabupaten Cirebon,Kabupaten,2025,,10.23,0.35,85.91,7.88,12.67,10.275,,48.0925,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0036,Kabupaten Garut,Kabupaten,2021,8.68,10.65,0.322,82.76,7.53,12.03,9.78,19.33,46.27,tersedia,tersedia,OK
FK0037,Kabupaten Garut,Kabupaten,2022,7.6,10.42,0.302,83.37,7.83,12.15,9.99,18.02,46.68,tersedia,tersedia,OK
FK0038,Kabupaten Garut,Kabupaten,2023,7.33,9.77,0.361,84.05,7.84,12.16,10.0,17.1,47.025,tersedia,tersedia,OK
FK0039,Kabupaten Garut,Kabupaten,2024,6.96,9.68,0.324,84.24,7.85,12.17,10.01,16.64,47.125,tersedia,tersedia,OK
FK0040,Kabupaten Garut,Kabupaten,2025,,9.39,0.347,84.62,7.86,12.43,10.145,,47.3825,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0041,Kabupaten Indramayu,Kabupaten,2021,8.3,13.04,0.321,88.59,6.52,12.26,9.39,21.34,48.99,tersedia,tersedia,OK
FK0042,Kabupaten Indramayu,Kabupaten,2022,6.49,12.77,0.3,88.89,6.83,12.27,9.55,19.26,49.22,tersedia,tersedia,OK
FK0043,Kabupaten Indramayu,Kabupaten,2023,6.46,12.13,0.344,89.51,6.94,12.29,9.615,18.59,49.5625,tersedia,tersedia,OK
FK0044,Kabupaten Indramayu,Kabupaten,2024,6.25,11.93,0.306,89.78,6.95,12.32,9.635,18.18,49.7075,tersedia,tersedia,OK
FK0045,Kabupaten Indramayu,Kabupaten,2025,,11.02,0.326,90.15,7.06,12.58,9.82,,49.985,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0046,Kabupaten Karawang,Kabupaten,2021,11.83,8.95,0.374,91.06,7.78,12.1,9.94,20.78,50.5,tersedia,tersedia,OK
FK0047,Kabupaten Karawang,Kabupaten,2022,9.87,8.44,0.353,91.32,7.96,12.19,10.075,18.31,50.6975,tersedia,tersedia,OK
FK0048,Kabupaten Karawang,Kabupaten,2023,8.95,7.87,0.389,91.85,8.04,12.2,10.12,16.82,50.985,tersedia,tersedia,OK
FK0049,Kabupaten Karawang,Kabupaten,2024,8.04,7.86,0.376,91.98,8.05,12.21,10.13,15.9,51.055,tersedia,tersedia,OK
FK0050,Kabupaten Karawang,Kabupaten,2025,,7.08,0.36,92.35,8.31,12.22,10.265,,51.3075,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0051,Kabupaten Kuningan,Kabupaten,2021,11.68,13.1,0.349,87.37,7.8,12.23,10.015,24.78,48.6925,tersedia,tersedia,OK
FK0052,Kabupaten Kuningan,Kabupaten,2022,9.81,12.76,0.345,87.65,7.88,12.24,10.06,22.57,48.855,tersedia,tersedia,OK
FK0053,Kabupaten Kuningan,Kabupaten,2023,9.49,12.12,0.351,87.79,7.89,12.26,10.075,21.61,48.932500000000005,tersedia,tersedia,OK
FK0054,Kabupaten Kuningan,Kabupaten,2024,7.78,11.88,0.369,88.0,7.9,12.27,10.085,19.66,49.0425,tersedia,tersedia,OK
FK0055,Kabupaten Kuningan,Kabupaten,2025,,10.74,0.32,88.7,7.91,12.52,10.215,,49.4575,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0056,Kabupaten Majalengka,Kabupaten,2021,5.71,12.33,0.354,86.88,7.31,12.23,9.77,18.04,48.325,tersedia,tersedia,OK
FK0057,Kabupaten Majalengka,Kabupaten,2022,4.16,11.94,0.367,87.39,7.49,12.24,9.865,16.1,48.6275,tersedia,tersedia,OK
FK0058,Kabupaten Majalengka,Kabupaten,2023,4.12,11.21,0.342,87.84,7.52,12.26,9.89,15.330000000000002,48.865,tersedia,tersedia,OK
FK0059,Kabupaten Majalengka,Kabupaten,2024,4.01,10.82,0.354,87.98,7.53,12.27,9.9,14.83,48.940000000000005,tersedia,tersedia,OK
FK0060,Kabupaten Majalengka,Kabupaten,2025,,10.31,0.371,88.52,7.81,12.5,10.155,,49.3375,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0061,Kabupaten Pangandaran,Kabupaten,2021,3.25,9.65,0.32,90.69,7.85,12.08,9.965,12.9,50.3275,tersedia,tersedia,OK
FK0062,Kabupaten Pangandaran,Kabupaten,2022,1.56,9.32,0.294,91.01,8.03,12.11,10.07,10.88,50.540000000000006,tersedia,tersedia,OK
FK0063,Kabupaten Pangandaran,Kabupaten,2023,1.52,8.98,0.323,90.83,8.04,12.3,10.17,10.5,50.5,tersedia,tersedia,OK
FK0064,Kabupaten Pangandaran,Kabupaten,2024,1.58,8.75,0.286,91.22,8.1,12.31,10.205,10.33,50.7125,tersedia,tersedia,OK
FK0065,Kabupaten Pangandaran,Kabupaten,2025,,8.03,0.304,91.42,8.11,12.41,10.26,,50.84,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0066,Kabupaten Purwakarta,Kabupaten,2021,10.7,8.83,0.388,87.33,8.1,12.12,10.11,19.53,48.72,tersedia,tersedia,OK
FK0067,Kabupaten Purwakarta,Kabupaten,2022,8.75,8.7,0.367,87.63,8.11,12.13,10.12,17.45,48.875,tersedia,tersedia,OK
FK0068,Kabupaten Purwakarta,Kabupaten,2023,7.72,8.46,0.372,87.8,8.13,12.18,10.155,16.18,48.9775,tersedia,tersedia,OK
FK0069,Kabupaten Purwakarta,Kabupaten,2024,7.34,8.41,0.398,87.96,8.14,12.25,10.195,15.75,49.0775,tersedia,tersedia,OK
FK0070,Kabupaten Purwakarta,Kabupaten,2025,,7.87,0.369,88.51,8.37,12.51,10.44,,49.475,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0071,Kabupaten Subang,Kabupaten,2021,9.77,10.03,0.329,91.26,7.11,11.71,9.41,19.8,50.335,tersedia,tersedia,OK
FK0072,Kabupaten Subang,Kabupaten,2022,7.77,9.75,0.36,91.74,7.2,11.78,9.49,17.52,50.615,tersedia,tersedia,OK
FK0073,Kabupaten Subang,Kabupaten,2023,7.65,9.52,0.331,91.92,7.45,11.91,9.68,17.17,50.8,tersedia,tersedia,OK
FK0074,Kabupaten Subang,Kabupaten,2024,6.73,9.49,0.32,92.11,7.46,12.11,9.785,16.22,50.9475,tersedia,tersedia,OK
FK0075,Kabupaten Subang,Kabupaten,2025,,9.23,0.32,92.14,7.68,12.38,10.03,,51.085,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0076,Kabupaten Sukabumi,Kabupaten,2021,9.51,7.7,0.343,88.04,7.1,12.24,9.67,17.21,48.855,tersedia,tersedia,OK
FK0077,Kabupaten Sukabumi,Kabupaten,2022,7.77,7.34,0.309,88.29,7.11,12.25,9.68,15.11,48.985,tersedia,tersedia,OK
FK0078,Kabupaten Sukabumi,Kabupaten,2023,7.32,7.01,0.355,89.02,7.33,12.38,9.855,14.33,49.4375,tersedia,tersedia,OK
FK0079,Kabupaten Sukabumi,Kabupaten,2024,7.11,6.87,0.342,89.38,7.34,12.39,9.865,13.98,49.6225,tersedia,tersedia,OK
FK0080,Kabupaten Sukabumi,Kabupaten,2025,,6.41,0.347,89.49,7.63,12.4,10.015,,49.7525,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0081,Kabupaten Sumedang,Kabupaten,2021,9.18,10.71,0.359,96.05,8.52,12.98,10.75,19.89,53.4,tersedia,tersedia,OK
FK0082,Kabupaten Sumedang,Kabupaten,2022,7.72,10.14,0.394,95.99,8.72,12.99,10.855,17.86,53.4225,tersedia,tersedia,OK
FK0083,Kabupaten Sumedang,Kabupaten,2023,6.94,9.36,0.366,96.13,8.73,13.01,10.87,16.3,53.5,tersedia,tersedia,OK
FK0084,Kabupaten Sumedang,Kabupaten,2024,6.16,9.1,0.337,96.22,8.74,13.02,10.88,15.26,53.55,tersedia,tersedia,OK
FK0085,Kabupaten Sumedang,Kabupaten,2025,,8.81,0.377,96.19,8.92,13.21,11.065,,53.6275,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0086,Kabupaten Tasikmalaya,Kabupaten,2021,6.16,11.15,0.378,86.65,7.48,12.54,10.01,17.310000000000002,48.330000000000005,tersedia,tersedia,OK
FK0087,Kabupaten Tasikmalaya,Kabupaten,2022,4.17,10.73,0.378,87.01,7.73,12.59,10.16,14.9,48.585,tersedia,tersedia,OK
FK0088,Kabupaten Tasikmalaya,Kabupaten,2023,3.89,10.28,0.404,87.47,7.96,12.63,10.295,14.17,48.8825,tersedia,tersedia,OK
FK0089,Kabupaten Tasikmalaya,Kabupaten,2024,3.74,10.23,0.363,87.64,7.97,12.64,10.305,13.97,48.9725,tersedia,tersedia,OK
FK0090,Kabupaten Tasikmalaya,Kabupaten,2025,,10.15,0.363,87.9,7.98,12.92,10.45,,49.175,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0091,Kota Bandung,Kota,2021,11.46,4.37,0.427,95.34,10.99,14.21,12.6,15.830000000000002,53.97,tersedia,tersedia,OK
FK0092,Kota Bandung,Kota,2022,9.55,4.25,0.459,95.39,11.0,14.23,12.615,13.8,54.0025,tersedia,tersedia,OK
FK0093,Kota Bandung,Kota,2023,8.83,3.96,0.459,95.24,11.06,14.24,12.65,12.79,53.945,tersedia,tersedia,OK
FK0094,Kota Bandung,Kota,2024,7.4,3.87,0.44,95.38,11.07,14.25,12.66,11.27,54.02,tersedia,tersedia,OK
FK0095,Kota Bandung,Kota,2025,,3.78,0.42,95.9,11.41,14.27,12.84,,54.370000000000005,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0096,Kota Banjar,Kota,2021,6.09,7.11,0.341,87.68,8.77,13.24,11.005,13.2,49.3425,tersedia,tersedia,OK
FK0097,Kota Banjar,Kota,2022,5.53,6.73,0.362,88.39,8.78,13.25,11.015,12.260000000000002,49.7025,tersedia,tersedia,OK
FK0098,Kota Banjar,Kota,2023,5.43,6.14,0.337,88.62,8.79,13.27,11.03,11.57,49.825,tersedia,tersedia,OK
FK0099,Kota Banjar,Kota,2024,5.44,5.85,0.318,88.93,8.83,13.28,11.055,11.29,49.99250000000001,tersedia,tersedia,OK
FK0100,Kota Banjar,Kota,2025,,5.73,0.287,89.53,8.84,13.29,11.065,,50.2975,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0101,Kota Bekasi,Kota,2021,10.88,4.74,0.401,93.79,11.31,14.1,12.705,15.62,53.2475,tersedia,tersedia,OK
FK0102,Kota Bekasi,Kota,2022,8.81,4.43,0.441,94.15,11.44,14.11,12.775,13.24,53.462500000000006,tersedia,tersedia,OK
FK0103,Kota Bekasi,Kota,2023,7.9,4.1,0.414,94.28,11.66,14.12,12.89,12.0,53.585,tersedia,tersedia,OK
FK0104,Kota Bekasi,Kota,2024,7.82,4.01,0.435,94.28,11.79,14.14,12.965,11.83,53.6225,tersedia,tersedia,OK
FK0105,Kota Bekasi,Kota,2025,,3.96,0.407,94.59,12.11,14.15,13.13,,53.86,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0106,Kota Bogor,Kota,2021,11.79,7.24,0.441,91.86,10.53,13.42,11.975,19.03,51.9175,tersedia,tersedia,OK
FK0107,Kota Bogor,Kota,2022,10.78,7.1,0.43,91.98,10.63,13.43,12.03,17.88,52.005,tersedia,tersedia,OK
FK0108,Kota Bogor,Kota,2023,9.39,6.67,0.464,92.19,10.64,13.45,12.045,16.060000000000002,52.1175,tersedia,tersedia,OK
FK0109,Kota Bogor,Kota,2024,8.13,6.53,0.477,92.34,10.71,13.51,12.11,14.66,52.225,tersedia,tersedia,OK
FK0110,Kota Bogor,Kota,2025,,5.89,0.435,92.77,10.72,13.69,12.205,,52.4875,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0111,Kota Cimahi,Kota,2021,13.07,5.35,0.415,92.54,11.08,13.81,12.445,18.42,52.49250000000001,tersedia,tersedia,OK
FK0112,Kota Cimahi,Kota,2022,10.77,5.11,0.408,92.51,11.21,13.82,12.515,15.88,52.5125,tersedia,tersedia,OK
FK0113,Kota Cimahi,Kota,2023,10.52,4.66,0.394,92.54,11.39,13.84,12.615,15.18,52.5775,tersedia,tersedia,OK
FK0114,Kota Cimahi,Kota,2024,8.97,4.39,0.402,92.78,11.52,13.85,12.685,13.36,52.7325,tersedia,tersedia,OK
FK0115,Kota Cimahi,Kota,2025,,4.2,0.365,93.2,11.53,13.86,12.695,,52.947500000000005,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0116,Kota Cirebon,Kota,2021,10.53,10.03,0.489,95.38,10.12,13.13,11.625,20.56,53.5025,tersedia,tersedia,OK
FK0117,Kota Cirebon,Kota,2022,8.42,9.82,0.468,95.87,10.33,13.14,11.735,18.24,53.8025,tersedia,tersedia,OK
FK0118,Kota Cirebon,Kota,2023,7.66,9.16,0.468,96.37,10.37,13.16,11.765,16.82,54.0675,tersedia,tersedia,OK
FK0119,Kota Cirebon,Kota,2024,6.29,9.02,0.424,96.59,10.53,13.17,11.85,15.31,54.22,tersedia,tersedia,OK
FK0120,Kota Cirebon,Kota,2025,,8.66,0.402,96.92,10.54,13.45,11.995,,54.4575,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0121,Kota Depok,Kota,2021,9.76,2.58,0.367,93.45,11.46,13.93,12.695,12.34,53.072500000000005,tersedia,tersedia,OK
FK0122,Kota Depok,Kota,2022,7.82,2.53,0.394,93.92,11.47,13.94,12.705,10.35,53.3125,tersedia,tersedia,OK
FK0123,Kota Depok,Kota,2023,6.97,2.38,0.402,94.03,11.58,13.96,12.77,9.35,53.4,tersedia,tersedia,OK
FK0124,Kota Depok,Kota,2024,6.27,2.34,0.398,94.26,11.59,14.11,12.85,8.61,53.555,tersedia,tersedia,OK
FK0125,Kota Depok,Kota,2025,,2.31,0.475,94.41,11.83,14.21,13.02,,53.715,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0126,Kota Sukabumi,Kota,2021,10.78,8.25,0.436,92.39,9.81,13.58,11.695,19.03,52.0425,tersedia,tersedia,OK
FK0127,Kota Sukabumi,Kota,2022,8.83,8.02,0.482,92.67,10.14,13.59,11.865,16.85,52.2675,tersedia,tersedia,OK
FK0128,Kota Sukabumi,Kota,2023,8.53,7.5,0.458,93.04,10.37,13.6,11.985,16.03,52.5125,tersedia,tersedia,OK
FK0129,Kota Sukabumi,Kota,2024,8.34,7.2,0.436,93.24,10.38,13.62,12.0,15.54,52.62,tersedia,tersedia,OK
FK0130,Kota Sukabumi,Kota,2025,,6.9,0.371,93.35,10.39,13.63,12.010000000000002,,52.68,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
FK0131,Kota Tasikmalaya,Kota,2021,7.66,13.13,0.414,92.62,9.52,13.46,11.49,20.79,52.055,tersedia,tersedia,OK
FK0132,Kota Tasikmalaya,Kota,2022,6.62,12.72,0.405,92.79,9.53,13.47,11.5,19.34,52.145,tersedia,tersedia,OK
FK0133,Kota Tasikmalaya,Kota,2023,6.55,11.53,0.428,92.96,9.54,13.49,11.515,18.08,52.2375,tersedia,tersedia,OK
FK0134,Kota Tasikmalaya,Kota,2024,6.49,11.1,0.359,92.98,9.63,13.5,11.565,17.59,52.2725,tersedia,tersedia,OK
FK0135,Kota Tasikmalaya,Kota,2025,,10.84,0.355,93.41,9.64,13.51,11.575,,52.4925,belum_tersedia,belum_tersedia,Terdapat indikator tahunan yang belum tersedia; tidak diimputasi
